Quý,Năm,DoanhthuBH,Giảmtrừ,Vốn,DoanhthuTC,ChiphíTC,ChiphíBH,ChiphíQLDN,TNkhác,Chiphíkhác,ThuếTNDNhh,ThuếTNDNhoãn
1,2010,3304641000,54522000,2110328000,91065000,5937000,242288000,72687000,58193000,,144659000,6683000
2,2010,4067730099,80876025,2621720253,123066399,35589234,333139439,84689488,50663936,,162946184,8285145
3,2010,4522303383,99628221,3026469123,110191571,61527219,405784818,86252382,695629612,294511501,228510181,7118743
4,2010,4279080372,93573938,2918202425,123659940,83652775,456973548,79486147,47956130,,108943223,8462899
1,2011,4629443092,94014614,3026042836,133282433,99490733,342429252,89266217,75078412,,180839410,1232401
2,2011,5537945291,117544034,3718548432,198208327,82395365,418830640,113847055,26624938,,2076790824,6666173
3,2011,5812690485,116149317,4023539000,176499198,22891996,504547655,119586465,62795794,,201418538,5890579
4,2011,6090478622,115420632,4271175110,172242495,41651815,546106700,136732260,158606893,,281674917,3989221
1,2012,5984554431,108236690,4076562819,146036114,12593172,418432223,113303086,108817618,8829457,273506914,4178648
2,2012,7151522050,140571096,4589449004,147739324,13271817,625531961,133771942,53704594,20634182,354621567,30336769
3,2012,6761165682,142324311,4277327756,71601592,18640324,601583863,140311483,15662718,,256582439,13563419
4,2012,7204441576,148977462,4541490668,109861556,6665816,700241294,137810756,172138413,33542637,252860915,20720301
1,2013,6863710091,141000881,4285765492,109716758,16053716,568459937,123214952,42411461,19335843,325268484,12413875
2,2013,8288641780,163966630,5025495231,130810314,23860925,879032986,149611607,54424250,7113530,439588003,12377174
3,2013,8216873767,162862218,5118774087,132381374,42753624,876242733,140489444,40504615,14385298,380979808,15732732
4,2013,8394972650,169529707,5583551389,133072150,6924999,952778105,150720703,218277406,57173985,336067356,18657462
1,2014,6992282695,9440538,4752099896,126102815,37242503,570852230,133069446,26867492,9376218,344615095,1810864
2,2014,9439872135,207529993,6067063430,132596919,30036221,1158497483,203140968,75057403,31630383,439313895,45913409
3,2014,8926519844,195077103,5702842521,180877176,34205341,1279872681,202711610,52818800,35634638,362550763,6846444
4,2014,7710262795,265665655,4147823944,141703829,34979451,1347480188,69946579,145894035,39511204,427807008,18657462
1,2015,8120447196,45250419,5197053661,137388275,8755688,1053759216,138790958,56805927,4960770,347643941,10412686
2,2015,10016605236,10700557,5834746004,165380457,20035698,1600234500,181527694,114622270,108388527,507760825,81622565
3,2015,10104381629,15319064,5870355960,177579328,107099154,1583418076,160694049,8213540,314314,387682331,37674897
4,2015,9768496497,25161004,5568362741,159435932,34979451,1645971464,481641696,64024786,39511204,199458848,18657462
1,2016,9577099914,26772939,5499205941,162566249,32770948,1560137250,153095022,30893864,542681,4369212485,833212
2,2016,11683709265,33296813,6577728283,191634551,2342720,1828126777,183700065,7421915,4184507,541253028,5061878
3,2016,11600802346,50547168,6662252841,234267334,27480882,1796322778,222266759,17709612,8387200,483002822,3145819
4,2016,11070553366,12421590,5841395182,187225410,1707994,3078129786,229910654,207269983,137032284,369859668,2096140
1,2017,11114789838,13972952,5619641177,627378545,3798351,2179061011,167225276,15207453,5255181,519378872,12038976
2,2017,12463085838,23704393,6148282715,199547858,8107083,2914307542,181287266,42341210,38749067,554778584,4013199
3,2017,12700605524,4342750,6626636770,235217568,8143940,2860371199,202099000,51142884,48934658,523700511,2154319
4,2017,11228202740,5884226,5849537452,220683754,13127264,3065151253,433077724,44953516,33203440,349575850,1615413
1,2018,10716656081,3572020,5512506110,190555008,22714136,2181999147,1459634511,130448632,61719155,514784213,8900001
2,2018,12285151007,24563017,6194036215,184272639,26481468,3027737054,173204052,36384463,27256506,480893798,3770369
3,2018,12360175873,1096803,6179017647,182811320,27730447,3278516625,194773957,120107734,23187610,459031127,17097028
4,2018,11562869821,2410908,5790008977,190662211,34979451,3217028067,165978373,78290081,39511204,428297239,18657462
1,2019,11827778296,35703754,6147141902,169687403,1936933,2526322105,178711854,14636531,4517767,518474991,20593667
2,2019,13098486203,2193660,6488419749,184676760,30499322,3184502040,207524378,43495795,5602443,642194409,1456307
3,2019,13046778547,3784056,6591713950,196705672,44256684,3162700173,209994489,42555162,44246993,576685291,174847
4,2019,12849234525,9085566,6509092335,222008056,34979451,3548712906,165978373,18122469,39511204,479818124,18657462
1,2020,12035687760,43681354,5933804061,238146573,111546855,2720679232,206886837,58789100,59953345,550836049,22532771
2,2020,13627644087,5781893,7011936799,277995578,19611799,3107460973,211102081,2434016,2508696,623285249,2851881
3,2020,13483241077,5221350,6788055737,314231057,103718034,30161557064,232192789,36957151,6924632,634117174,489889
4,2020,12445059912,4956096,6386522683,242686922,34979451,29465989746,165978373,9853714,39511204,460455776,18657462
1,2021,11094011577,44068158,5850178247,410537256,14355443,23687959811,177676300,82280853,469503,539454996,10887186
2,2021,13452261675,5540759,7114318538,340942982,33878107,2908218395,219158750,3474264,2815789,6256122990,4969920
3,2021,14000699548,4970765,7505287874,253778102,61004773,3042964812,227416099,30052871,2648759,612210899,9234012
4,2021,13479618762,5194168,7303943383,271496670,34979451,29465989746,165978373,81328130,39511204,2798633545,18657462
1,2022,11423919500,51316656,6305655186,257858694,128866563,2351712195,198991639,14865583,2715806,433678905,30900729
2,2022,12425550462,17057483,6803692027,504525986,130864339,2964497517,189316642,95299153,91394243,473184424,9808880
3,2022,13549198681,3388491,7653299694,276632890,132786525,2922079792,218116851,4366952,2193979,512754468,10294358
4,2022,12470583746,2077272,7146497858,404112368,34979451,29465989746,165978373,116484680,39511204,2798633545,18657462
