Quý,Năm,LC trong KD,LC trong ĐT,LC trong TC,Tiền và TĐ đầu,TGHĐ,Tiền và TĐ cuối
1,2010,342249,-210764,-336938,426135,,220682
2,2010,1373523851,-966623657,-370231470,415417916,-3466,452083174
3,2010,1103685580,189095032,-1432018008,415417916,131031,276311553
4,2010,2167401804,-1162911125,-1185064780,415417916,-607,234843207
1,2011,-66958608,-425936412,452540050,263472368,79739,223197137
2,2011,-312015156,-1548093664,1807628195,234843207,-55542,182307040
3,2011,975213618,309175091,438813077,263472368,-386235,1986287919
4,2011,2582736986,-192011886,126247397,584843207,-379801,3101435901
1,2012,141290608,-727943211,416327867,3156515397,-2907589,2983283071
2,2012,1579103554,-1652981098,-904711233,3101435902,265901,2123112215
3,2012,2944945796,-3280859220,-2224894815,3101435902,289568,540917231
4,2012,5294567838,-4973661178,-2224976377,3156515397,-325519,1252120160
1,2013,513439960,-136221131,-105339,1224462285,-2161863,1599413912
2,2013,2105968475,-1114264502,-1500564306,1224462285,1044357,716646311
3,2013,4191589552,-673312600,-3167645634,1224462285,-718678,1610374924
4,2013,6065497683,-1471895448,-3167760493,1224462285,-668472,2649635556
1,2014,2638255521,-1859487794,-2305928451,2745645326,1451443,1219936044
2,2014,2638255521,-1859487794,-2305928451,2745645326,1451443,1219936044
3,2014,4036411662,-3327972124,-2890111334,2649635556,-126726,467837032
4,2014,5478256077,-3938767684,-2890111335,2649635556,-186239,1298826376
1,2015,1178620541,-1184711330,-320400000,1298826376,1224682,973560267
2,2015,3363987494,-733698317,-2320637208,1298826376,-208062,1608270284
3,2015,6059611336,-351046983,-5869421624,1298826376,-1806843,1136162261
4,2015,7770872852,-2130063794,-5869421624,1298826376,-2278334,1067935585
1,2016,963709927,-982013604,,1067935585,-2090314,1047541593
2,2016,3965726892,283993233,-2400278796,1067935585,-2246134,2915130781
3,2016,6640732095,-215058593,-6925634952,1067935585,-768874,567205262
4,2016,8271115869,-1926956935,-6926699787,1067935585,-35888,485358843
1,2017,2757228066,-48177658,-1202521921,485358843,-433347,1991453982
2,2017,5630006336,-1643388624,-4106425909,485358843,-67159,365483387
3,2017,8273914883,-1316127078,-7009852828,485358843,-293184,433000636
4,2017,10041507308,-2781849599,-7011305387,485358843,-707625,733003540
1,2018,653636038,-72180978,-988290928,733003540,-366820,325800852
2,2018,2963782216,174917391,-2797933692,733003540,-46283,1073723172
3,2018,5289089019,1042584113,-6708864182,733003540,-113029,355699462
4,2018,5289089019,1042584113,-6708864182,733003540,-113029,355699462
1,2019,1758171701,-1172376573,-849729493,1011235213,-360415,746940433
2,2019,5007405558,-2551630588,-2264513584,1011235213,-744125,1201752474
3,2019,8340355886,-3733428787,-4818390019,1011235213,-422286,799350007
4,2019,11378216437,-7762932908,-3667480019,1011235213,-1876006,957162717
1,2020,1640208780,-739172868,-997601694,957162717,-151980,860444955
2,2020,4472346902,-2849544738,-897601684,957162717,-44764,1682318423
3,2020,7902646276,-4937820052,-3144028235,957162717,-49790,777910916
4,2020,9346753173,-4092103650,-5745593623,957162717,-1513364,464705253
1,2021,1188125694,-942851558,-149381656,464705253,-188110208,560409624
2,2021,4114376224,-1575059775,-2157732645,464705253,-259772,846029284
3,2021,7687134977,-1304529383,-5741205813,464705253,-4581320,1101523714
4,2021,8540310318,-1906895632,-5610525813,464705253,92266025,1485328101
1,2022,-8632825,509693391,-1415077623,1485328101,-653516,570657528
2,2022,2520367238,1811131655,-2346187623,1485328101,-1534792,3469104579
3,2022,6868813505,1035747177,-7859878463,1485328101,71628,1530081948
4,2022,8718490970,3308644138,-12547528463,1485328101,-1711666,963223080
